City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Apatou,GF,5.155,-54.3472,76.42,92,95,3.22,overcast clouds
1,Cavaillon,FR,43.8312,5.0359,79.79,69,0,3.44,clear sky
2,Albany,US,42.6001,-73.9662,86.65,55,99,6.2,overcast clouds
3,Tasiilaq,GL,65.6145,-37.6368,41.16,78,67,5.14,broken clouds
4,Sechura,PE,-5.5569,-80.8222,69.06,66,4,17.02,clear sky
5,Bethel,US,41.3712,-73.414,80.69,70,0,5.75,clear sky
6,Atuona,PF,-9.8,-139.0333,78.12,78,12,19.77,few clouds
7,Saint George,US,37.1041,-113.5841,108.63,16,0,16.11,clear sky
8,Avera,US,33.194,-82.5271,92.37,55,43,10.58,scattered clouds
9,Tabas,IR,33.5959,56.9244,85.75,12,0,5.57,clear sky
10,Jamestown,US,42.097,-79.2353,72.99,87,75,4.61,light rain
11,Bluff,NZ,-46.6,168.3333,53.8,64,100,23.0,overcast clouds
12,Catia La Mar,VE,10.6038,-67.0303,78.64,92,49,10.87,scattered clouds
13,Rocha,UY,-34.4833,-54.3333,42.64,77,0,7.4,clear sky
14,Bilibino,RU,68.0546,166.4372,36.1,61,99,21.9,overcast clouds
15,Mount Gambier,AU,-37.8333,140.7667,47.05,74,99,7.78,light rain
16,Punta Arenas,CL,-53.15,-70.9167,33.91,86,0,32.21,light snow
17,Vardo,NO,70.3705,31.1107,51.78,93,75,5.75,broken clouds
18,Ushuaia,AR,-54.8,-68.3,38.86,56,20,3.44,few clouds
19,Qaanaaq,GL,77.484,-69.3632,46.47,62,98,3.29,overcast clouds
20,East London,ZA,-33.0153,27.9116,67.69,32,0,7.83,clear sky
21,Doha,QA,25.2867,51.5333,95.31,70,57,2.3,broken clouds
22,Umea,SE,63.8284,20.2597,59.92,87,100,2.3,overcast clouds
23,Karatuzskoye,RU,53.6072,92.8667,58.6,99,100,5.01,moderate rain
24,Coihaique,CL,-45.5752,-72.0662,34.41,80,75,3.44,broken clouds
25,Mataura,NZ,-46.1927,168.8643,53.47,55,98,13.35,overcast clouds
