City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cherskiy,RU,2022-07-11 23:13:14,68.75,161.3,73.78,34,95,11.39
1,Port Alfred,ZA,2022-07-11 23:13:15,-33.5906,26.891,57.36,81,0,9.08
2,Suntar,RU,2022-07-11 23:13:15,62.1444,117.6319,65.97,68,74,4.97
3,Shancheng,CN,2022-07-11 23:13:15,34.7953,116.0817,82.06,90,98,7.09
4,Dolores,AR,2022-07-11 23:13:16,-36.3132,-57.6792,46.63,69,100,13.78
5,Sistranda,NO,2022-07-11 23:13:16,63.7256,8.834,57.16,82,97,5.1
6,Kapaa,US,2022-07-11 23:13:16,22.0752,-159.319,84.52,71,75,13.8
7,Mataura,NZ,2022-07-11 23:13:17,-46.1927,168.8643,44.47,89,100,11.36
8,Butaritari,KI,2022-07-11 23:13:17,3.0707,172.7902,81.93,80,100,17.54
9,Russell,US,2022-07-11 23:13:17,32.3502,-85.1999,83.97,74,75,6.91
10,Rikitea,PF,2022-07-11 23:13:18,-23.1203,-134.9692,74.82,70,4,12.19
11,Zaranj,AF,2022-07-11 23:13:18,30.9667,61.8833,87.06,14,1,23.55
12,Axim,GH,2022-07-11 23:13:18,4.8699,-2.2405,75.56,84,94,10.16
13,Benguela,AO,2022-07-11 23:13:19,-12.5763,13.4055,69.44,81,75,4.27
14,Tucuman,AR,2022-07-11 23:13:19,-26.8241,-65.2226,57.2,30,0,5.75
15,Sigli,ID,2022-07-11 23:13:19,5.3848,95.9609,77.41,77,100,7.65
16,Kimberley,ZA,2022-07-11 23:13:20,-28.7323,24.7623,46.04,53,0,2.57
17,Punta Arenas,CL,2022-07-11 23:10:43,-53.15,-70.9167,28.51,80,0,8.05
18,Castro,BR,2022-07-11 23:13:20,-24.7911,-50.0119,61.92,66,90,7.27
19,Ushuaia,AR,2022-07-11 23:13:20,-54.8,-68.3,33.46,55,40,11.5
20,Cidreira,BR,2022-07-11 23:13:21,-30.1811,-50.2056,67.26,78,84,12.59
21,Ocos,GT,2022-07-11 23:13:21,14.5094,-92.1933,78.98,73,73,6.49
22,Bredasdorp,ZA,2022-07-11 23:13:21,-34.5322,20.0403,48.7,82,0,6.04
23,Mar Del Plata,AR,2022-07-11 23:13:22,-38.0023,-57.5575,45.09,74,75,15.01
24,Ahipara,NZ,2022-07-11 23:13:22,-35.1667,173.1667,59.77,90,98,16.55
25,Lavrentiya,RU,2022-07-11 23:13:23,65.5833,-171.0,42.48,93,100,3.47
26,Busselton,AU,2022-07-11 23:13:23,-33.65,115.3333,55.56,87,98,7.72
27,Kropotkin,RU,2022-07-11 23:13:23,45.4375,40.5756,65.53,90,4,7.2
28,Vaini,TO,2022-07-11 23:13:24,-21.2,-175.2,80.76,78,20,12.66
29,Maldonado,UY,2022-07-11 23:13:24,-34.6667,-54.9167,48.22,91,100,17.78
30,Bluff,NZ,2022-07-11 23:13:24,-46.6,168.3333,44.8,80,100,24.16
31,Santa Marta,CO,2022-07-11 23:13:25,11.2408,-74.199,81.16,85,97,8.84
32,Umm Kaddadah,SD,2022-07-11 23:13:25,13.6017,26.6876,81.45,61,100,16.64
33,Leshukonskoye,RU,2022-07-11 23:13:25,64.8989,45.7622,64.44,84,34,4.72
34,Qaanaaq,GL,2022-07-11 23:13:26,77.484,-69.3632,43.14,82,39,2.73
35,Ponta Do Sol,PT,2022-07-11 23:13:26,32.6667,-17.1,69.01,51,13,5.93
36,Labuhan,ID,2022-07-11 23:13:26,-6.8844,112.2051,75.96,89,29,6.76
37,Faanui,PF,2022-07-11 23:13:27,-16.4833,-151.75,77.76,77,61,11.14
38,Chuy,UY,2022-07-11 23:13:27,-33.6971,-53.4616,49.26,92,100,19.26
39,Coquimbo,CL,2022-07-11 23:13:16,-29.9533,-71.3436,55.13,82,0,3.44
40,Portland,US,2022-07-11 23:13:27,45.5234,-122.6762,99.95,36,20,10.36
41,Hermanus,ZA,2022-07-11 23:12:59,-34.4187,19.2345,52.81,80,8,7.99
42,Catamarca,AR,2022-07-11 23:13:28,-28.4696,-65.7852,48.85,32,0,8.32
43,Hobart,AU,2022-07-11 23:13:17,-42.8794,147.3294,46.26,90,75,4.61
44,Taywarah,AF,2022-07-11 23:13:28,33.35,64.4167,57.33,20,0,6.55
45,Atuona,PF,2022-07-11 23:10:20,-9.8,-139.0333,77.45,75,35,16.26
46,Padang,ID,2022-07-11 23:14:29,-0.9492,100.3543,75.25,89,77,3.94
47,Marzuq,YE,2022-07-11 23:14:29,14.4,46.4667,71.35,69,93,4.74
48,Saskylakh,RU,2022-07-11 23:14:30,71.9167,114.0833,42.37,70,100,18.59
49,Bilibino,RU,2022-07-11 23:14:30,68.0546,166.4372,66.45,40,93,3.6
50,Hilo,US,2022-07-11 23:14:30,19.7297,-155.09,87.28,65,20,11.5
51,Henties Bay,NA,2022-07-11 23:14:31,-22.116,14.2845,55.0,87,0,4.43
52,Hithadhoo,MV,2022-07-11 23:14:31,-0.6,73.0833,82.15,72,84,5.1
53,Shimoda,JP,2022-07-11 23:14:31,34.6667,138.95,79.11,83,100,3.33
54,Gueret,FR,2022-07-11 23:14:32,46.1667,1.8667,60.12,67,0,3.65
55,San Isidro,PE,2022-07-11 23:14:32,-12.1167,-77.05,60.39,77,100,9.22
56,Belozerskoye,RU,2022-07-11 23:14:32,55.8214,65.5842,64.49,85,100,8.12
57,Sorland,NO,2022-07-11 23:14:32,67.667,12.6934,51.66,90,100,20.87
58,Sobolevo,RU,2022-07-11 23:14:33,54.4299,31.8996,60.3,97,100,6.42
59,High Prairie,CA,2022-07-11 23:14:33,55.4334,-116.4858,74.5,45,30,12.3
60,Humberto De Campos,BR,2022-07-11 23:14:34,-2.5983,-43.4611,76.26,87,68,4.7
61,Dikson,RU,2022-07-11 23:14:34,73.5069,80.5464,37.26,93,100,8.3
62,Puerto Narino,CO,2022-07-11 23:14:34,-3.7703,-70.3831,74.17,94,91,2.46
63,Sao Filipe,CV,2022-07-11 23:14:35,14.8961,-24.4956,73.6,84,36,4.76
64,Kainantu,PG,2022-07-11 23:14:35,-6.2887,145.8655,67.78,64,98,3.11
65,Lebu,CL,2022-07-11 23:14:35,-37.6167,-73.65,47.86,79,79,14.36
66,Arlington,US,2022-07-11 23:14:36,32.7357,-97.1081,104.31,27,0,11.5
67,Mangan,IN,2022-07-11 23:14:36,27.5167,88.5333,74.88,89,95,2.84
68,Uvinza,TZ,2022-07-11 23:14:36,-5.1036,30.3911,69.13,52,66,0.85
69,Pevek,RU,2022-07-11 23:14:37,69.7008,170.3133,47.5,56,20,7.4
70,Kruisfontein,ZA,2022-07-11 23:14:37,-34.0033,24.7314,51.19,77,4,6.82
71,Constitucion,CL,2022-07-11 23:14:37,-35.3333,-72.4167,48.18,81,13,0.76
72,Palana,RU,2022-07-11 23:14:38,59.1167,159.9667,60.06,74,21,7.61
73,Omboue,GA,2022-07-11 23:14:38,-1.5746,9.2618,69.66,88,88,6.02
74,Dembi Dolo,ET,2022-07-11 23:14:38,8.5333,34.8,57.15,94,100,2.44
75,Sitka,US,2022-07-11 23:14:39,57.0531,-135.33,55.29,82,75,4.61
76,Kodiak,US,2022-07-11 23:14:39,57.79,-152.4072,69.31,56,75,5.75
77,New Norfolk,AU,2022-07-11 23:14:39,-42.7826,147.0587,45.9,88,73,1.45
78,Carnarvon,AU,2022-07-11 23:14:40,-24.8667,113.6333,62.82,57,0,7.38
79,Kattivakkam,IN,2022-07-11 23:14:40,13.2167,80.3167,82.08,79,100,14.92
80,Santiago,CL,2022-07-11 23:13:14,-33.4569,-70.6483,47.35,76,0,4.61
81,Quesnel,CA,2022-07-11 23:14:40,52.9999,-122.5029,80.91,35,41,7.85
82,Shelburne,CA,2022-07-11 23:14:41,44.0787,-80.2041,79.12,52,43,15.99
83,Santa Margherita Ligure,IT,2022-07-11 23:14:41,44.3346,9.212,77.76,80,4,1.01
84,Camacha,PT,2022-07-11 23:14:41,33.0833,-16.3333,65.62,73,75,18.41
85,Isangel,VU,2022-07-11 23:14:42,-19.55,169.2667,78.49,78,14,4.59
86,Pisco,PE,2022-07-11 23:14:42,-13.7,-76.2167,63.01,82,30,16.11
87,Klenovyy,UA,2022-07-11 23:14:42,48.1193,39.4588,61.43,88,3,4.92
88,Morbegno,IT,2022-07-11 23:14:43,46.1383,9.57,74.52,85,57,3.94
89,Dutlwe,BW,2022-07-11 23:15:43,-23.9833,23.9,53.22,32,0,6.87
90,Viedma,AR,2022-07-11 23:15:44,-40.8135,-62.9967,38.44,70,38,5.17
91,Saint-Augustin,CA,2022-07-11 23:15:44,51.226,-58.6502,59.59,84,64,10.04
92,Marrakesh,MA,2022-07-11 23:15:44,31.6315,-8.0083,82.47,47,40,5.75
93,Egvekinot,RU,2022-07-11 23:15:44,66.3167,-179.1667,50.74,71,72,3.31
94,Kenai,US,2022-07-11 23:15:45,60.5544,-151.2583,74.03,56,0,10.36
95,Ladario,BR,2022-07-11 23:15:45,-19.0047,-57.6017,80.46,34,85,3.06
96,Bundaberg,AU,2022-07-11 23:11:21,-24.85,152.35,58.21,98,75,9.22
97,Terrace,CA,2022-07-11 23:15:46,54.5163,-128.6035,57.11,94,100,5.75
98,Albany,US,2022-07-11 23:15:36,42.6001,-73.9662,84.88,48,7,4.61
99,Baruun-Urt,MN,2022-07-11 23:15:46,46.6806,113.2792,62.53,79,100,6.67
100,Westport,US,2022-07-11 23:15:46,41.1415,-73.3579,80.65,60,0,12.66
101,Arraial Do Cabo,BR,2022-07-11 23:14:37,-22.9661,-42.0278,71.29,88,1,25.79
102,Talnakh,RU,2022-07-11 23:15:47,69.4865,88.3972,45.21,65,60,16.78
103,Mahebourg,MU,2022-07-11 23:15:47,-20.4081,57.7,71.26,73,40,17.27
104,Thinadhoo,MV,2022-07-11 23:15:48,0.5333,72.9333,81.45,71,91,2.77
105,Concordia,AR,2022-07-11 23:15:48,-31.393,-58.0209,51.78,91,100,15.01
106,Kavieng,PG,2022-07-11 23:15:48,-2.5744,150.7967,83.28,74,97,14.23
107,Nantucket,US,2022-07-11 23:13:38,41.2835,-70.0995,73.51,76,0,13.8
108,Miguel Hidalgo,MX,2022-07-11 23:15:01,19.4225,-99.2028,69.21,46,75,18.41
109,Humaita,BR,2022-07-11 23:15:49,-7.5061,-63.0208,80.4,66,93,2.19
110,Corinth,GR,2022-07-11 23:15:49,37.9407,22.9573,75.42,65,4,0.49
111,Thompson,CA,2022-07-11 23:15:49,55.7435,-97.8558,64.56,72,40,8.05
112,Tuktoyaktuk,CA,2022-07-11 23:15:50,69.4541,-133.0374,50.0,93,100,6.91
113,Alofi,NU,2022-07-11 23:15:50,-19.0595,-169.9187,80.49,65,75,12.66
